"pair_id","guide_1","guide_2","cut_1","cut_2","deletion_bp","mean_score"
"pair_1364","spacer_137","spacer_171",7673717,7674290,573,0.692888802734487
"pair_4333","spacer_268","spacer_280",7676169,7676227,58,0.692705952286073
"pair_3376","spacer_201","spacer_254",7675136,7676124,988,0.691414658396647
"pair_1373","spacer_140","spacer_152",7673745,7673824,79,0.690371178980857
"pair_3217","spacer_196","spacer_200",7675103,7675131,28,0.687846872520583
"pair_1342","spacer_137","spacer_149",7673717,7673783,66,0.687585570455205
"pair_838","spacer_118","spacer_137",7673537,7673717,180,0.685026748981421
"pair_1349","spacer_137","spacer_156",7673717,7674196,479,0.684439622065303
"pair_2474","spacer_171","spacer_201",7674290,7675136,846,0.683934316101433
"pair_1353","spacer_137","spacer_160",7673717,7674210,493,0.683857367370648
"pair_2469","spacer_171","spacer_196",7674290,7675103,813,0.68236274923383
"pair_1335","spacer_137","spacer_141",7673717,7673746,29,0.682243264718125
"pair_646","spacer_107","spacer_110",7670675,7670713,38,0.681698896795411
"pair_2579","spacer_174","spacer_189",7674862,7675057,195,0.680385039670489
"pair_3398","spacer_202","spacer_243",7675142,7676090,948,0.679229723137496
"pair_4343","spacer_268","spacer_297",7676169,7676556,387,0.678177291389692
"pair_4176","spacer_243","spacer_288",7676090,7676266,176,0.677510075663837
"pair_3496","spacer_207","spacer_231",7675153,7676037,884,0.677349444092536
"pair_3007","spacer_189","spacer_207",7675057,7675153,96,0.677159709196795
"pair_1108","spacer_125","spacer_144",7673577,7673769,192,0.676458205764276
"pair_4178","spacer_243","spacer_296",7676090,7676555,465,0.676393623441292
"pair_1757","spacer_156","spacer_201",7674196,7675136,940,0.675485135432249
"pair_2831","spacer_183","spacer_201",7674941,7675136,195,0.674963205171629
"pair_1961","spacer_160","spacer_201",7674210,7675136,926,0.674902880737594
"pair_3667","spacer_215","spacer_254",7675184,7676124,940,0.673929232300165
"pair_1752","spacer_156","spacer_196",7674196,7675103,907,0.673913568564645
"pair_4183","spacer_254","spacer_268",7676124,7676169,45,0.673876474893101
"pair_2789","spacer_182","spacer_189",7674944,7675057,113,0.673774383330996
"pair_4174","spacer_243","spacer_286",7676090,7676264,174,0.673652598662918
"pair_2826","spacer_183","spacer_196",7674941,7675103,162,0.673391638304026
"pair_1956","spacer_160","spacer_196",7674210,7675103,893,0.673331313869991
"pair_707","spacer_113","spacer_137",7673251,7673717,466,0.673003555361217
"pair_1105","spacer_125","spacer_140",7673577,7673745,168,0.67244461825089
"pair_3336","spacer_200","spacer_215",7675131,7675184,53,0.671933013291705
"pair_4024","spacer_231","spacer_299",7676037,7676580,543,0.671719783574081
"pair_3219","spacer_196","spacer_202",7675103,7675142,39,0.670936899796075
"pair_3303","spacer_198","spacer_243",7675125,7676090,965,0.67043147633075
"pair_4021","spacer_231","spacer_292",7676037,7676527,490,0.669853742181972
"pair_3962","spacer_230","spacer_243",7676040,7676090,50,0.668660246484127
"pair_2486","spacer_171","spacer_215",7674290,7675184,894,0.666448890004952
"pair_4158","spacer_243","spacer_261",7676090,7676143,53,0.66603629811875
"pair_3277","spacer_197","spacer_243",7675106,7676090,984,0.66595012300409
"pair_1357","spacer_137","spacer_164",7673717,7674234,517,0.664982977699327
"pair_3064","spacer_191","spacer_201",7675076,7675136,60,0.663989860361483
"pair_1174","spacer_129","spacer_137",7673598,7673717,119,0.66312396599936
"pair_4501","spacer_280","spacer_299",7676227,7676580,353,0.662691083486627
"pair_454","spacer_81","spacer_110",7669767,7670713,946,0.662427467563335
"pair_3059","spacer_191","spacer_196",7675076,7675103,27,0.662418293493879
"pair_3215","spacer_196","spacer_198",7675103,7675125,22,0.662138652989328
"pair_3369","spacer_201","spacer_230",7675136,7676040,904,0.661938990010309
"pair_4167","spacer_243","spacer_278",7676090,7676232,142,0.660840984821321
"pair_4498","spacer_280","spacer_292",7676227,7676527,300,0.660825042094518
"pair_3240","spacer_196","spacer_230",7675103,7676040,937,0.660367423142705
"pair_925","spacer_120","spacer_151",7673563,7673811,248,0.659873641504687
"pair_3249","spacer_197","spacer_201",7675106,7675136,30,0.659228866530271
"pair_1769","spacer_156","spacer_215",7674196,7675184,988,0.657999709335767
"pair_2843","spacer_183","spacer_215",7674941,7675184,243,0.657477779075147
"pair_1973","spacer_160","spacer_215",7674210,7675184,974,0.657417454641113
"pair_1365","spacer_140","spacer_144",7673745,7673769,24,0.656326204381535
"pair_952","spacer_121","spacer_137",7673559,7673717,158,0.656247100800611
"pair_926","spacer_120","spacer_152",7673563,7673824,261,0.656114664430261
"pair_316","spacer_73","spacer_107",7669709,7670675,966,0.656037701411841
"pair_2151","spacer_164","spacer_201",7674234,7675136,902,0.656028491066273
"pair_3382","spacer_202","spacer_215",7675142,7675184,42,0.655023040567196
"pair_2146","spacer_164","spacer_196",7674234,7675103,869,0.65445692419867
"pair_2513","spacer_172","spacer_201",7674863,7675136,273,0.65431111746477
"pair_1613","spacer_151","spacer_171",7673811,7674290,479,0.65419423624497
"pair_1338","spacer_137","spacer_145",7673717,7673772,55,0.653562888218179
"pair_4340","spacer_268","spacer_288",7676169,7676266,97,0.653250635686474
"pair_2508","spacer_172","spacer_196",7674863,7675103,240,0.652739550597166
"pair_1363","spacer_137","spacer_170",7673717,7674269,552,0.652339132893017
"pair_4342","spacer_268","spacer_296",7676169,7676555,386,0.652134183463929
"pair_4182","spacer_243","spacer_301",7676090,7676591,501,0.65190890200007
"pair_4171","spacer_243","spacer_283",7676090,7676254,164,0.651433262101557
"pair_2590","spacer_174","spacer_200",7674862,7675131,269,0.650720378077344
"pair_1630","spacer_152","spacer_171",7673824,7674290,466,0.650435259170544
"pair_3787","spacer_225","spacer_243",7675998,7676090,92,0.649544465427166
"pair_3502","spacer_207","spacer_254",7675153,7676124,971,0.649491266612111
"pair_4338","spacer_268","spacer_286",7676169,7676264,95,0.649393158685554
"pair_1555","spacer_149","spacer_151",7673783,7673811,28,0.648891003965687
"pair_4554","spacer_297","spacer_299",7676556,7676580,24,0.648162422590245
"pair_490","spacer_83","spacer_110",7669772,7670713,941,0.647993055901513
"pair_105","spacer_39","spacer_56",7667300,7667403,103,0.647663301120117
"pair_3329","spacer_200","spacer_207",7675131,7675153,22,0.64749504760365
"pair_1346","spacer_137","spacer_153",7673717,7673828,111,0.647332916301442
"pair_1350","spacer_137","spacer_157",7673717,7674200,483,0.646662166904626
"pair_3076","spacer_191","spacer_215",7675076,7675184,108,0.646504434265001
"pair_849","spacer_118","spacer_151",7673537,7673811,274,0.646332182491904
"pair_4547","spacer_292","spacer_297",7676527,7676556,29,0.646296381198137
"pair_3287","spacer_198","spacer_215",7675125,7675184,59,0.64622479376045
"pair_3157","spacer_194","spacer_201",7675079,7675136,57,0.645954984032736
"pair_1598","spacer_151","spacer_156",7673811,7674196,385,0.645745055575786
"pair_2449","spacer_171","spacer_174",7674290,7674862,572,0.645236254790591
"pair_1602","spacer_151","spacer_160",7673811,7674210,399,0.645162800881131
"pair_1556","spacer_149","spacer_152",7673783,7673824,41,0.645132026891262
"pair_3660","spacer_215","spacer_230",7675184,7676040,856,0.644453563913827
"pair_3969","spacer_230","spacer_268",7676040,7676169,129,0.644400806506763
"pair_3152","spacer_194","spacer_196",7675079,7675103,24,0.644383417165133
"pair_2800","spacer_182","spacer_200",7674944,7675131,187,0.64410972173785
"pair_4204","spacer_254","spacer_299",7676124,7676580,456,0.643861606093655
"pair_1400","spacer_141","spacer_151",7673746,7673811,65,0.643548698228608
"pair_2430","spacer_170","spacer_201",7674269,7675136,867,0.643384646259963
"pair_3025","spacer_189","spacer_231",7675057,7676037,980,0.642928081903061
"pair_3364","spacer_201","spacer_225",7675136,7675998,862,0.642823208953348
"pair_850","spacer_118","spacer_152",7673537,7673824,287,0.642573205417478
"pair_2479","spacer_171","spacer_207",7674290,7675153,863,0.642010924316897
"pair_4201","spacer_254","spacer_292",7676124,7676527,403,0.641995564701547
"pair_1615","spacer_152","spacer_156",7673824,7674196,372,0.64198607850136
"pair_3672","spacer_215","spacer_261",7675184,7676143,959,0.64182961554845
"pair_2425","spacer_170","spacer_196",7674269,7675103,834,0.641813079392359
"pair_4303","spacer_261","spacer_268",7676143,7676169,26,0.641776858141386
"pair_3261","spacer_197","spacer_215",7675106,7675184,78,0.64174344043379
"pair_1619","spacer_152","spacer_160",7673824,7674210,386,0.641403823806705
"pair_3235","spacer_196","spacer_225",7675103,7675998,895,0.641251642085744
"pair_1401","spacer_141","spacer_152",7673746,7673824,78,0.639789721154182
"pair_3373","spacer_201","spacer_241",7675136,7676088,952,0.639143222673993
"pair_2947","spacer_187","spacer_201",7674960,7675136,176,0.638953314615909
"pair_2455","spacer_171","spacer_182",7674290,7674944,654,0.638625598451097
"pair_2163","spacer_164","spacer_215",7674234,7675184,950,0.638543064969792
"pair_1809","spacer_157","spacer_201",7674200,7675136,936,0.637707680271573
"pair_3244","spacer_196","spacer_241",7675103,7676088,985,0.63757165580639
"pair_2942","spacer_187","spacer_196",7674960,7675103,143,0.637381747748305
"pair_2525","spacer_172","spacer_215",7674863,7675184,321,0.636825691368288
"pair_1732","spacer_156","spacer_174",7674196,7674862,666,0.636787074121407
"pair_296","spacer_73","spacer_81",7669709,7669767,58,0.636766272179765
"pair_4331","spacer_268","spacer_278",7676169,7676232,63,0.636581544843958
"pair_2573","spacer_174","spacer_183",7674862,7674941,79,0.636265143860787
"pair_1936","spacer_160","spacer_174",7674210,7674862,652,0.636204819426752
"pair_1804","spacer_157","spacer_196",7674200,7675103,903,0.636136113403969
"pair_1359","spacer_137","spacer_166",7673717,7674238,521,0.636040264946552
"pair_318","spacer_73","spacer_111",7669709,7670708,999,0.635292194002662
"pair_876","spacer_119","spacer_137",7673559,7673717,158,0.634532297308095
"pair_718","spacer_113","spacer_151",7673251,7673811,560,0.6343089888717
"pair_4013","spacer_231","spacer_280",7676037,7676227,190,0.634089116711348
"pair_2592","spacer_174","spacer_202",7674862,7675142,280,0.633810405352836
"pair_1354","spacer_137","spacer_161",7673717,7674221,504,0.63366197478373
"pair_1762","spacer_156","spacer_207",7674196,7675153,957,0.633561743647713
"pair_2889","spacer_185","spacer_201",7674958,7675136,178,0.63354398272056
"pair_2836","spacer_183","spacer_207",7674941,7675153,212,0.633039813387093
"pair_1966","spacer_160","spacer_207",7674210,7675153,943,0.632979488953058
"pair_1135","spacer_125","spacer_171",7673577,7674290,713,0.632508698440578
"pair_2884","spacer_185","spacer_196",7674958,7675103,145,0.631972415852956
"pair_719","spacer_113","spacer_152",7673251,7673824,573,0.630550011797274
"pair_3761","spacer_224","spacer_243",7675227,7676090,863,0.630549374658599
"pair_571","spacer_92","spacer_110",7670631,7670713,82,0.630260798965375
"pair_1738","spacer_156","spacer_182",7674196,7674944,748,0.630176417781913
"pair_1942","spacer_160","spacer_182",7674210,7674944,734,0.629594163087258
"pair_3169","spacer_194","spacer_215",7675079,7675184,105,0.628469557936255
"pair_2740","spacer_180","spacer_201",7674926,7675136,210,0.628200663939617
"pair_3374","spacer_201","spacer_242",7675136,7676089,953,0.627740336295011
"pair_4346","spacer_268","spacer_301",7676169,7676591,422,0.627649462022706
"pair_1113","spacer_125","spacer_149",7673577,7673783,206,0.627205466161295
"pair_2802","spacer_182","spacer_202",7674944,7675142,198,0.627199749013342
"pair_4335","spacer_268","spacer_283",7676169,7676254,85,0.627173822124194
"pair_4175","spacer_243","spacer_287",7676090,7676265,175,0.627123613295552
"pair_2247","spacer_166","spacer_201",7674238,7675136,898,0.627085778313499
"pair_2735","spacer_180","spacer_196",7674926,7675103,177,0.626629097072014
"pair_1606","spacer_151","spacer_164",7673811,7674234,423,0.62628841120981
"pair_3245","spacer_196","spacer_242",7675103,7676089,986,0.626168769427408
"pair_2442","spacer_170","spacer_215",7674269,7675184,915,0.625899220163481
"pair_2242","spacer_166","spacer_196",7674238,7675103,865,0.625514211445895
"pair_3655","spacer_215","spacer_225",7675184,7675998,814,0.625337782856866
"pair_2581","spacer_174","spacer_191",7674862,7675076,214,0.625291799050641
"pair_3794","spacer_225","spacer_268",7675998,7676169,171,0.625285025449802
"pair_2588","spacer_174","spacer_198",7674862,7675125,263,0.625012158546089
"pair_2008","spacer_161","spacer_201",7674221,7675136,915,0.624707488150676
"pair_3325","spacer_199","spacer_243",7675136,7676090,954,0.624690142518766
"pair_831","spacer_118","spacer_125",7673537,7673577,40,0.624646644687512
"pair_1185","spacer_129","spacer_151",7673598,7673811,213,0.624429399509843
"pair_3449","spacer_204","spacer_243",7675149,7676090,941,0.624163974524383
"pair_1120","spacer_125","spacer_156",7673577,7674196,619,0.624059517771393
"pair_3363","spacer_201","spacer_224",7675136,7675227,91,0.62382811818478
"pair_1124","spacer_125","spacer_160",7673577,7674210,633,0.623477263076739
"pair_4543","spacer_288","spacer_299",7676266,7676580,314,0.623235766887027
"pair_4154","spacer_243","spacer_256",7676090,7676127,37,0.623164219861327
"pair_2003","spacer_161","spacer_196",7674221,7675103,882,0.623135921283073
"pair_2918","spacer_186","spacer_201",7674959,7675136,177,0.623064915939215
"pair_1340","spacer_137","spacer_147",7673717,7673788,71,0.622657366641728
"pair_1623","spacer_152","spacer_164",7673824,7674234,410,0.622529434135384
"pair_298","spacer_73","spacer_83",7669709,7669772,63,0.622331860517944
"pair_3234","spacer_196","spacer_224",7675103,7675227,124,0.622256551317177
"pair_4551","spacer_296","spacer_299",7676555,7676580,25,0.622119314664482
"pair_4157","spacer_243","spacer_260",7676090,7676142,52,0.622109119082028
"pair_918","spacer_120","spacer_144",7673563,7673769,206,0.622069689830939
"pair_3069","spacer_191","spacer_207",7675076,7675153,77,0.622066468576947
"pair_1361","spacer_137","spacer_168",7673717,7674262,545,0.622065100252584
"pair_1106","spacer_125","spacer_141",7673577,7673746,169,0.621863160424216
"pair_3280","spacer_198","spacer_207",7675125,7675153,28,0.621786828072395
"pair_3664","spacer_215","spacer_241",7675184,7676088,904,0.621657796577511
"pair_4099","spacer_241","spacer_268",7676088,7676169,81,0.621605039170448
"pair_2913","spacer_186","spacer_196",7674959,7675103,144,0.621493349071612
"pair_2959","spacer_187","spacer_215",7674960,7675184,224,0.621467888519427
"pair_4540","spacer_288","spacer_292",7676266,7676527,261,0.621369725494919
"pair_3423","spacer_203","spacer_243",7675143,7676090,947,0.62070682058107
"pair_1186","spacer_129","spacer_152",7673598,7673824,226,0.620670422435417
"pair_2587","spacer_174","spacer_197",7674862,7675106,244,0.620530805219429
"pair_793","spacer_117","spacer_137",7673536,7673717,181,0.620451326447369
"pair_4546","spacer_292","spacer_296",7676527,7676555,28,0.620253273272374
"pair_1821","spacer_157","spacer_215",7674200,7675184,984,0.620222254175091
"pair_3495","spacer_207","spacer_230",7675153,7676040,887,0.620015598225773
"pair_4023","spacer_231","spacer_297",7676037,7676556,519,0.619560455814967
"pair_4531","spacer_286","spacer_299",7676264,7676580,316,0.619378289886108
"pair_3579","spacer_210","spacer_243",7675156,7676090,934,0.618743820732925
"pair_2791","spacer_182","spacer_191",7674944,7675076,132,0.618681142711147
"pair_2798","spacer_182","spacer_198",7674944,7675125,181,0.618401502206595
"pair_915","spacer_120","spacer_140",7673563,7673745,182,0.618056102317553
"pair_963","spacer_121","spacer_151",7673559,7673811,252,0.617552534311094
"pair_4528","spacer_286","spacer_292",7676264,7676527,263,0.617512248493999
"pair_3507","spacer_207","spacer_261",7675153,7676143,990,0.617391649860396
"pair_3825","spacer_226","spacer_243",7676008,7676090,82,0.61737136391116
"pair_2126","spacer_164","spacer_174",7674234,7674862,628,0.617330429755431
"pair_3254","spacer_197","spacer_207",7675106,7675153,47,0.617305474745735
"pair_3377","spacer_201","spacer_256",7675136,7676127,991,0.616442963387509
"pair_3216","spacer_196","spacer_199",7675103,7675136,33,0.616397319177345
"pair_1470","spacer_144","spacer_171",7673769,7674290,521,0.616390284571222
"pair_3553","spacer_209","spacer_243",7675155,7676090,935,0.6161776812967
"pair_2901","spacer_185","spacer_215",7674958,7675184,226,0.616058556624078
"pair_3221","spacer_196","spacer_204",7675103,7675149,46,0.615871151182962
"pair_415","spacer_79","spacer_110",7669761,7670713,952,0.615381600632951
"pair_3997","spacer_231","spacer_254",7676037,7676124,87,0.615259639318377
"pair_1471","spacer_145","spacer_151",7673772,7673811,39,0.614868321728662
"pair_3990","spacer_230","spacer_299",7676040,7676580,540,0.614385937707317
"pair_2156","spacer_164","spacer_207",7674234,7675153,919,0.614105099281737
"pair_345","spacer_74","spacer_110",7669735,7670713,978,0.614000371240254
"pair_2797","spacer_182","spacer_197",7674944,7675106,162,0.613920148879936
"pair_964","spacer_121","spacer_152",7673559,7673824,265,0.613793557236668
"pair_2552","spacer_173","spacer_201",7674859,7675136,277,0.613646878021795
"pair_1612","spacer_151","spacer_170",7673811,7674269,458,0.6136445664035
"pair_3347","spacer_200","spacer_231",7675131,7676037,906,0.613263420309916
"pair_2340","spacer_168","spacer_201",7674262,7675136,874,0.613110613619531
"pair_3001","spacer_189","spacer_200",7675057,7675131,74,0.613073685414175
"pair_3895","spacer_228","spacer_243",7676024,7676090,66,0.612779281386966
"pair_700","spacer_113","spacer_125",7673251,7673577,326,0.612623451067308
"pair_3987","spacer_230","spacer_292",7676040,7676527,487,0.612519896315208
"pair_3220","spacer_196","spacer_203",7675103,7675143,40,0.612413997239648
"pair_2518","spacer_172","spacer_207",7674863,7675153,290,0.612387725680234
"pair_1392","spacer_140","spacer_171",7673745,7674290,545,0.612376697057837
"pair_2547","spacer_173","spacer_196",7674859,7675103,244,0.612075311154191
"pair_3355","spacer_201","spacer_210",7675136,7675156,20,0.612022564259107
"pair_4324","spacer_261","spacer_299",7676143,7676580,437,0.61176198934194
"pair_2335","spacer_168","spacer_196",7674262,7675103,841,0.611539046751927
"pair_1472","spacer_145","spacer_152",7673772,7673824,52,0.611109344654236
"pair_4181","spacer_243","spacer_300",7676090,7676593,503,0.610918339677151
"pair_3599","spacer_212","spacer_243",7675178,7676090,912,0.610810132004927
"pair_2132","spacer_164","spacer_182",7674234,7674944,710,0.610719773415938
"pair_2752","spacer_180","spacer_215",7674926,7675184,258,0.610715237843136
"pair_3365","spacer_201","spacer_226",7675136,7676008,872,0.610650107437342
"pair_4500","spacer_280","spacer_297",7676227,7676556,329,0.610531755727513
"pair_3226","spacer_196","spacer_210",7675103,7675156,53,0.610450997391504
"pair_1339","spacer_137","spacer_146",7673717,7673779,62,0.610428756899523
"pair_2630","spacer_175","spacer_201",7674870,7675136,266,0.610336910654026
"pair_1362","spacer_137","spacer_169",7673717,7674266,549,0.61033590442896
"pair_3665","spacer_215","spacer_242",7675184,7676089,905,0.61025491019853
"pair_4129","spacer_242","spacer_268",7676089,7676169,80,0.610202152791466
"pair_4321","spacer_261","spacer_292",7676143,7676527,384,0.609895947949831
"pair_1629","spacer_152","spacer_170",7673824,7674269,445,0.609885589329074
"pair_4156","spacer_243","spacer_259",7676090,7676141,51,0.609696920817381
"pair_2259","spacer_166","spacer_215",7674238,7675184,946,0.609600352217017
"pair_3236","spacer_196","spacer_226",7675103,7676008,905,0.609078540569738
"pair_2494","spacer_172","spacer_182",7674863,7674944,81,0.609002399814434
"pair_2625","spacer_175","spacer_196",7674870,7675103,233,0.608765343786422
"pair_842","spacer_118","spacer_144",7673537,7673769,232,0.608528230818157
"pair_4165","spacer_243","spacer_275",7676090,7676193,103,0.608112904417353
"pair_1599","spacer_151","spacer_157",7673811,7674200,389,0.607967600415109
"pair_1455","spacer_144","spacer_156",7673769,7674196,427,0.607941103902038
"pair_3225","spacer_196","spacer_209",7675103,7675155,52,0.607884857955278
"pair_2462","spacer_171","spacer_189",7674290,7675057,767,0.607589562127422
"pair_1459","spacer_144","spacer_160",7673769,7674210,441,0.607358849207383
"pair_2584","spacer_174","spacer_194",7674862,7675079,217,0.607256922721894
"pair_2020","spacer_161","spacer_215",7674221,7675184,963,0.607222062054194
"pair_1370","spacer_140","spacer_149",7673745,7673783,38,0.607073464778554
"pair_3126","spacer_193","spacer_201",7675078,7675136,58,0.606997304334763
"pair_4475","spacer_278","spacer_299",7676232,7676580,348,0.606566676044511
"pair_3654","spacer_215","spacer_224",7675184,7675227,43,0.606342692088299
"pair_3768","spacer_224","spacer_268",7675227,7676169,942,0.606289934681235
"pair_4193","spacer_254","spacer_280",7676124,7676227,103,0.606230939230923
"pair_3367","spacer_201","spacer_228",7675136,7676024,888,0.606058024913148
"pair_97","spacer_39","spacer_44",7667300,7667347,47,0.605872087897577
"pair_748","spacer_116","spacer_137",7673539,7673717,178,0.605784003652807
"pair_1393","spacer_141","spacer_144",7673746,7673769,23,0.60574474655486
"pair_643","spacer_106","spacer_110",7670664,7670713,49,0.605737282177484
"pair_595","spacer_95","spacer_110",7670634,7670713,79,0.605667516717347
"pair_2930","spacer_186","spacer_215",7674959,7675184,225,0.605579489842734
"pair_3121","spacer_193","spacer_196",7675078,7675103,25,0.605425737467159
"pair_1347","spacer_137","spacer_154",7673717,7673829,112,0.604758042002989
"pair_4472","spacer_278","spacer_292",7676232,7676527,295,0.604700634652403
"pair_2405","spacer_170","spacer_174",7674269,7674862,593,0.604686584949121
"pair_627","spacer_101","spacer_110",7670651,7670713,62,0.604632639503064
"pair_1128","spacer_125","spacer_164",7673577,7674234,657,0.604602873405418
"pair_303","spacer_73","spacer_92",7669709,7670631,922,0.604599603581805
"pair_839","spacer_118","spacer_140",7673537,7673745,208,0.604514643304771
"pair_3238","spacer_196","spacer_228",7675103,7676024,921,0.604486458045544
"pair_1616","spacer_152","spacer_157",7673824,7674200,376,0.604208623340683
"pair_3356","spacer_201","spacer_212",7675136,7675178,42,0.604088875531109
"pair_3162","spacer_194","spacer_207",7675079,7675153,74,0.6040315922482
"pair_1377","spacer_140","spacer_156",7673745,7674196,451,0.603927516388652
"pair_4163","spacer_243","spacer_273",7676090,7676198,108,0.60391264269201
"pair_579","spacer_93","spacer_110",7670632,7670713,81,0.603793889101009
"pair_1381","spacer_140","spacer_160",7673745,7674210,465,0.603345261693998
"pair_4339","spacer_268","spacer_287",7676169,7676265,96,0.602864173318188
"pair_1099","spacer_125","spacer_129",7673577,7673598,21,0.60274386170545
"pair_3227","spacer_196","spacer_212",7675103,7675178,75,0.602517308663505
"pair_1343","spacer_137","spacer_150",7673717,7673788,71,0.601790761028818
"pair_4162","spacer_243","spacer_272",7676090,7676186,96,0.601532149456482
"pair_2435","spacer_170","spacer_207",7674269,7675153,884,0.601461254475427
"pair_2385","spacer_169","spacer_201",7674266,7675136,870,0.601381417795907
"pair_4062","spacer_236","spacer_243",7676059,7676090,31,0.601324782797489
"pair_3490","spacer_207","spacer_225",7675153,7675998,845,0.600899817168812
"pair_2794","spacer_182","spacer_194",7674944,7675079,135,0.6006462663824
"pair_3309","spacer_199","spacer_215",7675136,7675184,48,0.600483459948466
"pair_2577","spacer_174","spacer_187",7674862,7674960,98,0.600255253305067
"pair_3433","spacer_204","spacer_215",7675149,7675184,35,0.599957291954083
"pair_2380","spacer_169","spacer_196",7674266,7675103,837,0.599809850928303
"pair_1745","spacer_156","spacer_189",7674196,7675057,861,0.599140381458238
"pair_1784","spacer_157","spacer_174",7674200,7674862,662,0.599009618960731
"pair_3668","spacer_215","spacer_256",7675184,7676127,943,0.598957537291027
"pair_4207","spacer_256","spacer_268",7676127,7676169,42,0.598904779883964
"pair_2819","spacer_183","spacer_189",7674941,7675057,116,0.598618451197618
"pair_1949","spacer_160","spacer_189",7674210,7675057,847,0.598558126763583
"pair_2411","spacer_170","spacer_182",7674269,7674944,675,0.598075928609627
"pair_3671","spacer_215","spacer_260",7675184,7676142,958,0.597902436511728
"pair_101","spacer_39","spacer_48",7667300,7667350,50,0.597890039014163
"pair_4279","spacer_260","spacer_268",7676142,7676169,27,0.597849679104664
"pair_3622","spacer_213","spacer_243",7675179,7676090,911,0.597697640286079
"pair_1608","spacer_151","spacer_166",7673811,7674238,427,0.597345698457035
"pair_3499","spacer_207","spacer_241",7675153,7676088,935,0.597219830889457
"pair_4513","spacer_283","spacer_299",7676254,7676580,326,0.597158953324747
"pair_2952","spacer_187","spacer_207",7674960,7675153,193,0.597029922831373
"pair_633","spacer_103","spacer_110",7670646,7670713,67,0.59690901616869
